Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil
Yunus Musah,20,États-Unis,"18,00 mio. €","21,20 mio. €",https://www.transfermarkt.fr/yunus-musah/profil/spieler/503991
Francisco Trincão,23,Portugal,"15,00 mio. €","18,00 mio. €",https://www.transfermarkt.fr/francisco-trincao/profil/spieler/412669
Habib Diallo,28,Sénégal,"18,00 mio. €","18,00 mio. €",https://www.transfermarkt.fr/habib-diallo/profil/spieler/344888
Dean Henderson,26,Angleterre,"18,00 mio. €","17,50 mio. €",https://www.transfermarkt.fr/dean-henderson/profil/spieler/258919
Iliman Ndiaye,23,Sénégal,"18,00 mio. €","17,00 mio. €",https://www.transfermarkt.fr/iliman-ndiaye/profil/spieler/623570
Mohammed Salisu,24,Ghana,"18,00 mio. €","15,00 mio. €",https://www.transfermarkt.fr/mohammed-salisu/profil/spieler/563963
Jesper Karlsson,25,Suède,"18,00 mio. €","11,15 mio. €",https://www.transfermarkt.fr/jesper-karlsson/profil/spieler/367992
Sebastian Szymanski,24,Pologne,"18,00 mio. €","10,70 mio. €",https://www.transfermarkt.fr/sebastian-szymanski/profil/spieler/320748
Manor Solomon,23,Israël,Inconnu,"18,00 mio. €",https://www.transfermarkt.fr/manor-solomon/profil/spieler/396638
Nicolò Rovella,21,Italie,Inconnu,"18,00 mio. €",https://www.transfermarkt.fr/nicolo-rovella/profil/spieler/525704
Nicolas Pépé,28,Côte d'Ivoire,Inconnu,"18,00 mio. €",https://www.transfermarkt.fr/nicolas-pepe/profil/spieler/343052
Roberto Firmino,31,Brésil,Inconnu,"18,00 mio. €",https://www.transfermarkt.fr/roberto-firmino/profil/spieler/131789
Jérémie Boga,26,Côte d'Ivoire,"14,00 mio. €","17,50 mio. €",https://www.transfermarkt.fr/jeremie-boga/profil/spieler/216569
Gustavo Hamer,26,Pays-Bas,"8,00 mio. €","17,30 mio. €",https://www.transfermarkt.fr/gustavo-hamer/profil/spieler/322985
James Trafford,20,Angleterre,"15,00 mio. €","17,30 mio. €",https://www.transfermarkt.fr/james-trafford/profil/spieler/566799
Niclas Füllkrug,30,Allemagne,"13,00 mio. €","17,25 mio. €",https://www.transfermarkt.fr/niclas-fullkrug/profil/spieler/75489
Chris Wood,31,Nouvelle-Zélande,"8,00 mio. €","17,00 mio. €",https://www.transfermarkt.fr/chris-wood/profil/spieler/108725
Nikola Vlašić,25,Croatie,"17,00 mio. €","10,60 mio. €",https://www.transfermarkt.fr/nikola-vlasic/profil/spieler/293200
Pablo Fornals,27,Espagne,"17,00 mio. €","8,00 mio. €",https://www.transfermarkt.fr/pablo-fornals/profil/spieler/357885
Nicolás Domínguez,25,Argentine,"17,00 mio. €","6,65 mio. €",https://www.transfermarkt.fr/nicolas-dominguez/profil/spieler/497291
Timo Werner,27,Allemagne,Inconnu,"17,00 mio. €",https://www.transfermarkt.fr/timo-werner/profil/spieler/170527
